,items,common_ingredients,cluster_id
87,"['pork', 'other vegetables', 'whipped/sour cream']","['pork', 'vegetables', 'cream']",3
88,"['berries', 'yogurt']","['fruits', 'yogurt']",3
89,['soda'],['soda'],3
90,['berries'],['fruits'],3
91,"['fruit/vegetable juice', 'salty snack', 'candles']",['vegetables'],3
92,"['citrus fruit', 'butter milk', 'yogurt', 'cream cheese']","['fruits', 'butter', 'yogurt', 'cheese']",3
93,"['pork', 'hamburger meat', 'citrus fruit', 'berries', 'onions', 'whipped/sour cream', 'rice', 'coffee', 'chocolate']","['pork', 'meat', 'fruits', 'fruits', 'vegetables', 'cream', 'rice', 'chocolate']",3
95,"['grapes', 'photo/film']",['vegetables'],3
96,"['sausage', 'sliced cheese', 'rolls/buns', 'brown bread', 'fruit/vegetable juice', 'canned beer', 'red/blush wine', 'waffles', 'shopping bags']","['meat', 'cheese', 'bread', 'bread', 'vegetables', 'beer', 'wine']",3
97,"['chicken', 'hamburger meat', 'citrus fruit', 'tropical fruit', 'root vegetables', 'other vegetables', 'butter', 'pasta', 'oil', 'detergent']","['chicken', 'meat', 'fruits', 'fruits', 'vegetables', 'vegetables', 'butter', 'pasta', 'oil']",3
98,"['whole milk', 'yogurt', 'brown bread']","['milk', 'yogurt', 'bread']",3
99,"['citrus fruit', 'tropical fruit']","['fruits', 'fruits']",3
100,"['soda', 'misc. beverages']",['soda'],3
101,"['sausage', 'pork', 'grapes', 'whole milk', 'rolls/buns', 'pastry', 'soda', 'specialty bar', 'bathroom cleaner']","['meat', 'pork', 'vegetables', 'milk', 'bread', 'soda']",3
102,"['frankfurter', 'rolls/buns', 'bottled water']","['meat', 'bread', 'water']",3
103,"['sausage', 'whole milk', 'yogurt', 'coffee', 'fruit/vegetable juice', 'bottled beer', 'softener', 'napkins', 'photo/film', 'shopping bags']","['meat', 'milk', 'yogurt', 'vegetables', 'beer']",3
104,['soda'],['soda'],3
105,"['rolls/buns', 'fruit/vegetable juice']","['bread', 'vegetables']",3
106,"['beef', 'citrus fruit', 'berries', 'root vegetables', 'brown bread', 'detergent']","['beef', 'fruits', 'fruits', 'vegetables', 'bread']",3
107,"['whole milk', 'whipped/sour cream', 'rolls/buns', 'soda', 'waffles', 'candy', 'cling film/bags']","['milk', 'cream', 'bread', 'soda']",3
108,['processed cheese'],['cheese'],3
109,"['tropical fruit', 'pip fruit']","['fruits', 'fruits']",3
110,"['frankfurter', 'sausage', 'root vegetables', 'other vegetables', 'rolls/buns', 'oil', 'pickled vegetables', 'bottled beer', 'chewing gum', 'dishes']","['meat', 'meat', 'vegetables', 'vegetables', 'bread', 'oil', 'vegetables', 'beer']",3
111,"['packaged fruit/vegetables', 'bottled water']","['vegetables', 'water']",3
112,"['whole milk', 'dessert', 'frozen vegetables', 'rolls/buns', 'margarine', 'bottled water', 'red/blush wine', 'newspapers']","['milk', 'vegetables', 'bread', 'margarine', 'water', 'wine']",3
113,"['berries', 'whipped/sour cream']","['fruits', 'cream']",3
114,"['citrus fruit', 'berries', 'UHT-milk', 'processed cheese']","['fruits', 'fruits', 'milk', 'cheese']",3
115,"['tropical fruit', 'whole milk', 'yogurt']","['fruits', 'milk', 'yogurt']",6
116,"['hamburger meat', 'whole milk', 'frozen vegetables', 'rolls/buns', 'bottled beer', 'sparkling wine']","['meat', 'milk', 'vegetables', 'bread', 'beer', 'wine']",3
117,"['hamburger meat', 'other vegetables', 'whole milk', 'frozen vegetables', 'domestic eggs', 'soda', 'dishes']","['meat', 'vegetables', 'milk', 'vegetables', 'eggs', 'soda']",3
118,"['whole milk', 'cream cheese', 'soda']","['milk', 'cheese', 'soda']",3
119,"['fish', 'other vegetables', 'pastry', 'margarine', 'coffee', 'long life bakery product', 'male cosmetics', 'shopping bags']","['fish', 'vegetables', 'margarine']",3
120,"['frankfurter', 'sausage', 'long life bakery product', 'waffles']","['meat', 'meat']",3
121,"['packaged fruit/vegetables', 'dessert', 'semi-finished bread', 'canned beer']","['vegetables', 'bread', 'beer']",3
122,"['pastry', 'soda']",['soda'],3
123,"['other vegetables', 'red/blush wine']","['vegetables', 'wine']",3
125,"['frankfurter', 'sausage', 'citrus fruit', 'tropical fruit', 'pip fruit', 'whole milk', 'hard cheese', 'cream cheese', 'domestic eggs', 'rice', 'sugar', 'canned fruit', 'misc. beverages', 'fruit/vegetable juice', 'hygiene articles']","['meat', 'meat', 'fruits', 'fruits', 'fruits', 'milk', 'cheese', 'cheese', 'eggs', 'rice', 'sugar', 'fruits', 'vegetables']",6
126,['sparkling wine'],['wine'],3
128,"['sausage', 'butter milk', 'rolls/buns']","['meat', 'butter', 'bread']",3
130,"['frankfurter', 'dessert']",['meat'],3
131,"['whole milk', 'yogurt', 'beverages', 'brown bread', 'shopping bags']","['milk', 'yogurt', 'bread']",3
133,"['berries', 'soda']","['fruits', 'soda']",3
134,"['curd', 'flour', 'liquor (appetizer)']",['flour'],3
135,"['tropical fruit', 'other vegetables', 'coffee']","['fruits', 'vegetables']",3
136,['soda'],['soda'],3
137,"['rolls/buns', 'Instant food products']",['bread'],3
138,['canned beer'],['beer'],3
139,['canned beer'],['beer'],3
140,"['frankfurter', 'sausage', 'whole milk', 'rolls/buns', 'margarine']","['meat', 'meat', 'milk', 'bread', 'margarine']",3
141,"['other vegetables', 'misc. beverages', 'canned beer']","['vegetables', 'beer']",3
142,"['whole milk', 'frozen vegetables']","['milk', 'vegetables']",3
143,['whole milk'],['milk'],3
144,"['citrus fruit', 'butter', 'cream cheese', 'white bread', 'oil', 'margarine', 'newspapers']","['fruits', 'butter', 'cheese', 'bread', 'oil', 'margarine']",3
145,"['frankfurter', 'rolls/buns']","['meat', 'bread']",3
146,"['frankfurter', 'ham', 'pip fruit', 'other vegetables', 'whole milk', 'soft cheese', 'frozen vegetables', 'rolls/buns', 'sugar', 'baking powder']","['meat', 'ham', 'fruits', 'vegetables', 'milk', 'cheese', 'vegetables', 'bread', 'sugar']",6
147,"['butter milk', 'yogurt', 'honey', 'soda', 'detergent']","['butter', 'yogurt', 'honey', 'soda']",3
148,"['hamburger meat', 'citrus fruit', 'onions', 'rolls/buns', 'bottled water', 'dental care']","['meat', 'fruits', 'vegetables', 'bread', 'water']",3
149,"['pasta', 'popcorn']",['pasta'],3
150,"['other vegetables', 'whole milk', 'meat spreads', 'cake bar', 'chocolate', 'shopping bags']","['vegetables', 'milk', 'meat', 'chocolate']",3
151,"['sausage', 'pork', 'citrus fruit', 'dessert', 'white bread', 'dishes', 'candles']","['meat', 'pork', 'fruits', 'bread']",3
152,['rolls/buns'],['bread'],3
153,"['grapes', 'other vegetables', 'curd', 'dessert', 'yogurt', 'napkins']","['vegetables', 'vegetables', 'yogurt']",3
154,"['root vegetables', 'other vegetables', 'whole milk', 'yogurt', 'beverages', 'soft cheese', 'frozen vegetables', 'fruit/vegetable juice', 'bottled beer']","['vegetables', 'vegetables', 'milk', 'yogurt', 'cheese', 'vegetables', 'vegetables', 'beer']",3
157,"['whole milk', 'rolls/buns', 'sugar', 'bottled water', 'soda']","['milk', 'bread', 'sugar', 'water', 'soda']",6
158,"['tropical fruit', 'other vegetables', 'packaged fruit/vegetables', 'whole milk', 'snack products']","['fruits', 'vegetables', 'vegetables', 'milk']",3
159,"['beef', 'herbs', 'flour', 'cling film/bags', 'flower soil/fertilizer']","['beef', 'herbs', 'flour']",5
160,"['whole milk', 'butter', 'dessert', 'rolls/buns']","['milk', 'butter', 'bread']",3
161,"['frankfurter', 'soda', 'chewing gum']","['meat', 'soda']",3
162,"['tropical fruit', 'specialty cheese', 'bottled water']","['fruits', 'cheese', 'water']",3
163,['canned beer'],['beer'],3
164,"['finished products', 'other vegetables', 'frozen vegetables', 'bottled beer']","['vegetables', 'vegetables', 'beer']",3
165,"['beverages', 'soda']",['soda'],3
166,"['hamburger meat', 'root vegetables', 'whole milk']","['meat', 'vegetables', 'milk']",3
167,"['whole milk', 'pastry', 'long life bakery product']",['milk'],3
168,"['finished products', 'white wine', 'shopping bags']",['wine'],3
169,['other vegetables'],['vegetables'],3
170,"['ham', 'tropical fruit', 'other vegetables', 'whole milk', 'white bread', 'brown bread', 'fruit/vegetable juice', 'bottled beer']","['ham', 'fruits', 'vegetables', 'milk', 'bread', 'bread', 'vegetables', 'beer']",3
171,['other vegetables'],['vegetables'],3
172,"['curd', 'butter milk', 'cocoa drinks', 'salty snack', 'popcorn']",['butter'],3
173,['bottled beer'],['beer'],3
174,"['curd', 'dessert', 'soda', 'salty snack', 'waffles', 'cake bar', 'chocolate', 'shopping bags']","['soda', 'chocolate']",3
175,"['whole milk', 'cream cheese', 'cereals', 'dog food']","['milk', 'cheese']",3
176,"['whole milk', 'salt']","['milk', 'salt']",3
178,"['sausage', 'soft cheese', 'coffee']","['meat', 'cheese']",3
179,"['other vegetables', 'bottled water', 'waffles', 'dishes', 'shopping bags']","['vegetables', 'water']",3
180,"['ham', 'whole milk', 'rolls/buns']","['ham', 'milk', 'bread']",3
181,"['other vegetables', 'ice cream']",['vegetables'],3
182,"['other vegetables', 'bottled water']","['vegetables', 'water']",3
183,"['soda', 'bottled beer', 'white wine', 'prosecco']","['soda', 'beer', 'wine', 'wine']",3
184,"['herbs', 'candy']",['herbs'],5
185,"['frankfurter', 'ham', 'tropical fruit', 'pip fruit', 'root vegetables', 'other vegetables', 'whole milk', 'butter', 'curd', 'yogurt', 'whipped/sour cream', 'soft cheese', 'sliced cheese', 'cream cheese', 'frozen meals', 'frozen fish', 'domestic eggs', 'white bread', 'sugar', 'cereals', 'fruit/vegetable juice', 'bottled beer', 'waffles']","['meat', 'ham', 'fruits', 'fruits', 'vegetables', 'vegetables', 'milk', 'butter', 'yogurt', 'cream', 'cheese', 'cheese', 'cheese', 'fish', 'eggs', 'bread', 'sugar', 'vegetables', 'beer']",6
186,"['rolls/buns', 'canned beer']","['bread', 'beer']",3
187,"['curd', 'cream cheese', 'semi-finished bread', 'zwieback', 'cake bar', 'specialty bar', 'shopping bags']","['cheese', 'bread']",3
188,"['frankfurter', 'tropical fruit', 'whole milk', 'spread cheese', 'margarine', 'shopping bags']","['meat', 'fruits', 'milk', 'cheese', 'margarine']",3
189,['other vegetables'],['vegetables'],3
192,"['curd', 'salt', 'liquor (appetizer)', 'detergent', 'shopping bags']",['salt'],3
193,"['frankfurter', 'rolls/buns']","['meat', 'bread']",3
194,['soda'],['soda'],3
195,"['beef', 'berries', 'root vegetables', 'whole milk', 'dessert', 'spread cheese', 'brown bread']","['beef', 'fruits', 'vegetables', 'milk', 'cheese', 'bread']",3
196,['canned beer'],['beer'],3
197,"['pork', 'beef', 'pip fruit', 'herbs', 'spices']","['pork', 'beef', 'fruits', 'herbs', 'herbs']",5
198,"['frankfurter', 'citrus fruit', 'UHT-milk', 'margarine', 'sugar']","['meat', 'fruits', 'milk', 'margarine', 'sugar']",6
199,"['sausage', 'bottled beer', 'liquor (appetizer)']","['meat', 'beer']",3
200,['canned beer'],['beer'],3
201,['specialty chocolate'],['chocolate'],3
202,"['curd', 'rolls/buns']",['bread'],3
203,['canned beer'],['beer'],3
204,"['whole milk', 'bottled water', 'newspapers']","['milk', 'water']",3
205,"['rolls/buns', 'chewing gum']",['bread'],3
206,"['pork', 'root vegetables', 'other vegetables', 'whole milk', 'dishes']","['pork', 'vegetables', 'vegetables', 'milk']",3
207,"['citrus fruit', 'pastry']",['fruits'],3
209,"['rolls/buns', 'pastry', 'soda']","['bread', 'soda']",3
210,"['butter', 'yogurt', 'bottled water', 'soda', 'make up remover', 'hygiene articles']","['butter', 'yogurt', 'water', 'soda']",3
211,"['condensed milk', 'sugar', 'coffee', 'shopping bags']","['milk', 'sugar']",6
212,"['sausage', 'other vegetables', 'yogurt', 'soda', 'shopping bags']","['meat', 'vegetables', 'yogurt', 'soda']",3
213,"['whole milk', 'beverages', 'UHT-milk', 'soda']","['milk', 'milk', 'soda']",3
214,"['sausage', 'pork', 'beef', 'whole milk', 'rolls/buns', 'margarine']","['meat', 'pork', 'beef', 'milk', 'bread', 'margarine']",3
217,"['bottled water', 'fruit/vegetable juice']","['water', 'vegetables']",3
220,"['sausage', 'soda', 'newspapers', 'shopping bags']","['meat', 'soda']",3
222,"['sausage', 'beef', 'citrus fruit', 'other vegetables', 'whole milk', 'butter milk', 'whipped/sour cream', 'beverages', 'hard cheese', 'rolls/buns', 'dish cleaner', 'cookware']","['meat', 'beef', 'fruits', 'vegetables', 'milk', 'butter', 'cream', 'cheese', 'bread']",3
224,['white wine'],['wine'],3
225,"['sausage', 'sliced cheese', 'rolls/buns', 'soda', 'canned beer', 'shopping bags']","['meat', 'cheese', 'bread', 'soda', 'beer']",3
226,"['meat', 'curd', 'bottled beer', 'cake bar']","['meat', 'beer']",3
227,"['frankfurter', 'meat', 'tropical fruit', 'onions', 'oil', 'baking powder', 'tea', 'cling film/bags']","['meat', 'meat', 'fruits', 'vegetables', 'oil']",3
228,"['ice cream', 'rolls/buns', 'canned beer']","['bread', 'beer']",3
229,['canned beer'],['beer'],3
230,"['tropical fruit', 'berries', 'root vegetables', 'other vegetables', 'bottled water', 'shopping bags']","['fruits', 'fruits', 'vegetables', 'vegetables', 'water']",3
231,"['meat', 'citrus fruit', 'other vegetables', 'curd', 'dessert', 'butter milk', 'beverages', 'cream cheese', 'rolls/buns', 'brown bread', 'tea', 'bottled water']","['meat', 'fruits', 'vegetables', 'butter', 'cheese', 'bread', 'bread', 'water']",3
232,"['whole milk', 'mustard', 'bottled water']","['milk', 'herbs', 'water']",5
233,"['sausage', 'beef', 'beverages', 'sliced cheese', 'rolls/buns', 'spices', 'house keeping products', 'flower (seeds)']","['meat', 'beef', 'cheese', 'bread', 'herbs']",5
234,"['frankfurter', 'sausage', 'root vegetables', 'butter', 'curd', 'sliced cheese', 'rolls/buns', 'salty snack', 'long life bakery product']","['meat', 'meat', 'vegetables', 'butter', 'cheese', 'bread']",3
235,"['meat', 'other vegetables', 'butter', 'rolls/buns']","['meat', 'vegetables', 'butter', 'bread']",3
236,"['root vegetables', 'beverages', 'Instant food products', 'pickled vegetables', 'detergent']","['vegetables', 'vegetables']",3
237,"['root vegetables', 'herbs', 'other vegetables', 'whole milk', 'sliced cheese', 'rolls/buns']","['vegetables', 'herbs', 'vegetables', 'milk', 'cheese', 'bread']",5
238,"['whole milk', 'whipped/sour cream', 'semi-finished bread', 'margarine']","['milk', 'cream', 'bread', 'margarine']",3
239,"['citrus fruit', 'whole milk', 'curd', 'dessert', 'yogurt', 'whipped/sour cream', 'frozen dessert', 'rolls/buns', 'salt', 'sugar', 'cereals', 'canned vegetables', 'canned fish', 'skin care', 'hygiene articles', 'napkins']","['fruits', 'milk', 'yogurt', 'cream', 'bread', 'salt', 'sugar', 'vegetables', 'fish']",6
240,"['citrus fruit', 'curd', 'pastry', 'margarine', 'sugar', 'candy', 'newspapers']","['fruits', 'margarine', 'sugar']",6
241,"['other vegetables', 'whole milk', 'bottled water', 'soda', 'misc. beverages', 'bottled beer', 'red/blush wine', 'napkins']","['vegetables', 'milk', 'water', 'soda', 'beer', 'wine']",3
242,"['citrus fruit', 'whole milk', 'rolls/buns']","['fruits', 'milk', 'bread']",6
243,"['sausage', 'oil', 'hygiene articles', 'napkins']","['meat', 'oil']",3
244,"['frankfurter', 'beef', 'hamburger meat', 'grapes', 'root vegetables', 'whole milk', 'butter', 'frozen dessert', 'potato products', 'bottled water', 'bottled beer']","['meat', 'beef', 'meat', 'vegetables', 'vegetables', 'milk', 'butter', 'water', 'beer']",3
245,"['hard cheese', 'rolls/buns', 'bottled water', 'newspapers']","['cheese', 'bread', 'water']",3
246,"['cream cheese', 'rolls/buns', 'soda', 'chocolate']","['cheese', 'bread', 'soda', 'chocolate']",3
247,"['turkey', 'beef', 'frozen vegetables', 'dishes', 'photo/film']","['meat', 'beef', 'vegetables']",3
248,"['pork', 'other vegetables', 'whipped/sour cream', 'rolls/buns', 'soda', 'shopping bags']","['pork', 'vegetables', 'cream', 'bread', 'soda']",3
249,"['whole milk', 'beverages']",['milk'],3
250,"['rolls/buns', 'soda']","['bread', 'soda']",3
251,"['sausage', 'pip fruit', 'whole milk', 'curd', 'yogurt', 'sliced cheese', 'rolls/buns', 'bottled water', 'hygiene articles']","['meat', 'fruits', 'milk', 'yogurt', 'cheese', 'bread', 'water']",3
254,"['pip fruit', 'other vegetables', 'fruit/vegetable juice']","['fruits', 'vegetables', 'vegetables']",3
255,"['root vegetables', 'other vegetables', 'yogurt']","['vegetables', 'vegetables', 'yogurt']",3
256,['soda'],['soda'],3
257,['soda'],['soda'],3
258,"['sausage', 'citrus fruit', 'tropical fruit', 'other vegetables', 'whole milk', 'yogurt', 'rolls/buns', 'bottled water', 'soda', 'chocolate', 'newspapers']","['meat', 'fruits', 'fruits', 'vegetables', 'milk', 'yogurt', 'bread', 'water', 'soda', 'chocolate']",3
259,"['root vegetables', 'whole milk', 'pet care', 'detergent']","['vegetables', 'milk']",3
260,"['pork', 'berries', 'root vegetables', 'other vegetables', 'pastry', 'specialty bar']","['pork', 'fruits', 'vegetables', 'vegetables']",3
261,['pork'],['pork'],3
262,['chocolate'],['chocolate'],3
263,['fruit/vegetable juice'],['vegetables'],3
264,"['pickled vegetables', 'coffee']",['vegetables'],3
265,['bottled water'],['water'],3
266,"['frankfurter', 'sausage', 'butter', 'whipped/sour cream', 'rolls/buns', 'margarine', 'spices']","['meat', 'meat', 'butter', 'cream', 'bread', 'margarine', 'herbs']",4
267,"['tropical fruit', 'pip fruit', 'onions', 'other vegetables', 'whole milk', 'domestic eggs', 'sugar', 'soups', 'tea', 'soda', 'hygiene articles', 'napkins']","['fruits', 'fruits', 'vegetables', 'vegetables', 'milk', 'eggs', 'sugar', 'soda']",6
268,['canned beer'],['beer'],3
269,['root vegetables'],['vegetables'],3
270,"['meat', 'citrus fruit', 'berries', 'root vegetables', 'whole milk', 'soda']","['meat', 'fruits', 'fruits', 'vegetables', 'milk', 'soda']",3
271,"['frankfurter', 'rolls/buns', 'bottled water', 'fruit/vegetable juice', 'hygiene articles']","['meat', 'bread', 'water', 'vegetables']",3
272,"['tropical fruit', 'margarine', 'rum']","['fruits', 'margarine', 'rum']",3
273,"['tropical fruit', 'root vegetables', 'herbs', 'whole milk', 'butter milk', 'whipped/sour cream', 'flour', 'hygiene articles']","['fruits', 'vegetables', 'herbs', 'milk', 'butter', 'cream', 'flour']",4
274,"['citrus fruit', 'pip fruit', 'root vegetables', 'other vegetables', 'whole milk', 'cream cheese', 'domestic eggs', 'brown bread', 'margarine', 'baking powder', 'waffles']","['fruits', 'fruits', 'vegetables', 'vegetables', 'milk', 'cheese', 'eggs', 'bread', 'margarine']",3
275,"['hamburger meat', 'other vegetables', 'whole milk', 'curd', 'yogurt', 'rolls/buns', 'pastry', 'semi-finished bread', 'margarine', 'bottled water', 'fruit/vegetable juice']","['meat', 'vegetables', 'milk', 'yogurt', 'bread', 'bread', 'margarine', 'water', 'vegetables']",3
276,"['chicken', 'pip fruit', 'other vegetables', 'whole milk', 'dessert', 'yogurt', 'whipped/sour cream', 'rolls/buns', 'pasta', 'soda', 'waffles']","['chicken', 'fruits', 'vegetables', 'milk', 'yogurt', 'cream', 'bread', 'pasta', 'soda']",3
277,"['chicken', 'citrus fruit', 'tropical fruit', 'root vegetables', 'whole milk', 'frozen fish', 'rolls/buns']","['chicken', 'fruits', 'fruits', 'vegetables', 'milk', 'fish', 'bread']",3
